date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:39	862/862	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-35e%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/1x1/ag.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/1x1/ag.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css)
22:46:43	4647/4647	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-1227%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/al.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/al.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css)
22:46:43	4908/4908	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-132c%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/1x1/al.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/1x1/al.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css)
22:46:44	55336/55336	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-d828%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/ai.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/ai.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css)
22:46:44	226/226	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-e2%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/am.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/am.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css)
22:46:44	242/242	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-f2%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/1x1/am.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/1x1/am.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css)
22:46:45	2245/2245	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-8c5%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/ao.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/ao.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css)
22:46:45	2251/2251	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-8cb%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/1x1/ao.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/1x1/ao.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css)
22:46:46	4488/4488	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-1188%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/aq.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/aq.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css)
22:46:47	4611/4611	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-1203%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/1x1/aq.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/1x1/aq.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css)
22:46:47	4395/4395	---M--	200	added ('OK')	image/svg+xml	etag:%225f3f98c1-112b%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/ar.svg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/flags/4x3/ar.svg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/iconfonts/flag-icon-css/css/flag-icon.min.css)
